Business Name,Category,Area/Address,Phone,Rating,Reviews,Status,Priority Notes,Group
sri sai poly films,Polythene and plastic sheeting supplier,"Baghlingampally, Chikkadpally",072878 78797,4.6,55,Open,,Supplier
Sri sai polymers and plastic dealers,Plastic Products Supplier,Begum Bazar,086865 19474,4.7,31,Open,,Supplier
Samad traders - plastic drum shop,Barrel supplier,Bazar Ghat,081426 63807,4.7,22,Open,,Supplier
Famous Plastics,Plastic Products Supplier,Begum Bazar,086868 66242,4.4,16,Open,,Supplier
Bhavani Plastics,Plastic bag supplier,Begum Bazar,040 2473 1507,4.5,16,Open,,Supplier
Ashoka Packaging,Plastic bag supplier,Begum Bazar,099082 99675,5,13,Open,,Supplier
New Fancy Plastic Mart,Plastic Products Supplier,Sultan Bazar,099492 67260,5,11,Open,,Supplier
National plastic,Plastic bag supplier,Pathar Gatti,098494 06602,3.9,8,Open,,Supplier
Gupta Plastics,Adhesives & Glue Supplier,Putlibowli,077992 25942,5,6,Open,,Supplier
Navdurga Plastics,Plastic bag supplier,Kachiguda,040 6588 9181,5,5,Open,,Supplier
Prathamesh Polythene Industries Pvt Ltd,Plastic bag supplier,Begum Bazar,098490 55004,5,4,Open,,Supplier
Annapurna plastics,Plastic Products Supplier,15-7-629,098850 13322,4.8,30,Closed,,Supplier
HINDUSTAN PLASTIC INDUSTRIES,Plastic Products Supplier,"Plot No. 17/1, C.I, E (Exp",040 2308 5751,4.7,13,Closed,,Supplier
THE SUPREME INDUSTRIES LIMITED,Plastic Products Supplier,"2nd floor, 900/ 1, No. 3-5, Old MLA Quarters Rd, opp. Pantaloon Store",040 2326 2884,4.8,5,,,Supplier
SRI SAI PLASTIC,Plastic bag supplier,"back side, Vijay Neha Tower, opposite bezum bazar",063044 76906,5,5,Open,,Supplier
Venus Plastics,Plastic Products Supplier,"15-7-94, adj. Post Office",080 4763 7507,4.2,5,Closed,,Supplier
Samad traders- plastic drum shop,Barrel supplier,"Hyderabad, Telangana",081426 63807,4.7,22,Open,,Supplier
Kothari Distributors Food Packaging Disposables - Begum Bazaar,Disposable tableware supplier,15-8-131/3,092814 37236,3.9,100,Closed,,Supplier
Navkar Poly Print,Plastic bag supplier,"Sri Ram Complex, Fish Market, Begum Bazar, Afzal Gunj, Hyderabad, Telangana 500012 Goshamahal, near Rajdhani Bank",098490 79261,4.6,12,Closed,,Supplier
Stretch Film,Plastic bag supplier,"opp pillar 28,Mehdipatnam,087 1234 6000",087123 46000,3.8,12,Closed,,Supplier
Hyderabad Polymer House,Polymer Supplier,"U-15, Mahatma Gandhi Rd",094411 82955,4.9,76,Closed,,Supplier
Vani Plastics,Plastic fabrication company,Begum Bazar area,040 2474 4864,3.6,30,Open,,Other
Jai Bhavani Plastics,Home goods store,Osmangunj,099839 21083,3.8,12,Open,,Other
Sun Plastics,Kitchen remodeler / plastics,Feelkhana,098490 19170,4.4,10,Open,15+ years in business,Other
Perfect plastics,Disposable Items shop,Begum Bazar,099086 15050,3,7,Open,,Other
Sri Plastic industries,Plastic fabrication company,"Begum Bazaar, near High court post office",040 2461 4295,3.8,5,Open,,Other
Ambika Plastic House,Plastic fabrication company,Begum Bazar Rd,040 5582 8019,4,4,Open,,Other
Hyderabad Plastic Scrap Traders,Scrap metal dealer,Musheerabad,,5,3,Open,,Other
G B PLASTIC & KIRANA,Home goods store,Mir Chowk,070329 85374,4.7,3,Open,,Other
Tiger plastic,Market,Begum Bazar,,5,2,Open,,Other
Sri Sai Marketing,Plastic fabrication company,Basheer Bagh,040 2321 2126,5,2,Open,,Other
Krishna Plastics,Disposable Items shop,Bahadurpura,,3,2,Open,,Other
SRI MANOJ PLASTICS,B2B service,Rikab Gunj,095337 65500,5,2,Open,35+ years in business — established but zero web presence,Other
Popular Plastic Shop,General store,Begum Bazar,093819 20740,5,1,Open,,Other
Renuka plastic,Advertising agency (mislabeled),Jiyaguda,090329 05981,5,1,Open,7+ years in business,Other
A. K. Plastic,Plastic fabrication company,Begum Bazar,,5,1,Open,,Other
Allen Reinforced Plastics Limited,Plastic fabrication company,"6-3-856/4, Saadath Manzil Colony Rd, opp. Lane to GreenPark Hotel",040 2341 3778,4,2,Closed,,Other
SR POLY PACKS,Packaging company,"7+ years in business · Phase 3, Plot No 65, opp. JETL",086866 26448,4.9,48,Open 24 hours,,Other
Khandala Plastic Company,Plastic Injection Molding Workshop,"Hyderabad, Telangana",092463 76333,5,1,,,Other
Precision Dies & Moulds,5 pm,"SHOP NO 1, Akshay Enclave, PLOT NO 57",090902 82818,4.9,57,Closes soon,,Other
Jeno Agencies Acrylic wholesale dealer,Plastic fabrication company,"Hyderabad, Telangana",098852 52252,5,156,Closed,,Other
AVNFLEX,Packaging company,"30+ years in business · Block No.201, 2nd Floor, ANUSHKA TRENDZ, Road No. 14",076600 03242,4.5,130,Closed,,Other
Sandhyaflex Rubber & PVC Products,5 pm,"Hyderabad, Telangana",,5,4,Closes soon,,Other
A M C Plastic Traders,Plastic fabrication company,"13/183/40/46/4, Gandhi Nagar, Gandhi Nagar",040 2753 0214,5,3,Temporarily closed,,Other
Sri Krishna Plastics,Plastic fabrication company,"Panwar Palace, Share Auto Stand, 15-8-204/5, opposite Mittika",040 6518 9197,3.8,16,Temporarily closed,,Other
TELANGANA AND ANDHRA PLASTICS MANUFACTURERS ASSOCIATION,Association / Organization,"914, 9th floor, Raghav Ratna Tower",040 2320 3191,4.4,21,Temporarily closed,,Other
Sri Ram Plastic,Dry Fruit Store,"Shop No 15-7-497, Behind Post Office, Begum Bazaar, opposite Manish Packaging",099636 18411,5,2,Temporarily closed,,Other
